piezo,Dopants,Dopants fr,Fabrication Method,d33,D33 (pC/N),ref,Eff_Dielectric,Eff_Thermal,Eff_Youngs,Piezo_Base,Gamma_TE,Chi_Mech,S_imp,Delta_Beta,Fourier_sin_phi,Fourier_cos_phi
PVDF-TrFe,PVDF,0.0,,4.32,4.32±1.0,,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF-TrFe,PVDF,0.0,,30.0,30,,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
PVDF,PVDF,12.0,,12.0,12,https://doi.org/10.1016/j.cjph.2019.10.022,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,240000000.0,0.0,0.6845471059286886,0.7289686274214116
PVDF/ZrO2,ZrO2,12.2,DFT,12.2,12.2,https://doi.org/10.1016/j.cjph.2019.10.022,11.840017875063493,0.2604292789119293,2546847032.7820234,3.512,3.083487317507139,1.2734235163910117,34160000000.0,0.2283245654627501,0.6936533058128049,0.7203090248879069
PVDF/2ZrO2,ZrO2,17.0,DFT,17.0,17,https://doi.org/10.1016/j.cjph.2019.10.022,12.627361190562347,0.2876790829571733,2805316517.028586,3.32,3.6326276874699763,1.402658258514293,47600000000.0,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/3ZrO2,ZrO2,13.9,DFT,13.9,13.9,https://doi.org/10.1016/j.cjph.2019.10.022,12.114485323077083,0.26982975147928656,2635146571.124099,3.444,3.268848564025354,1.3175732855620494,38920000000.0,0.25046277600743205,0.7664930068093498,0.6422526531765843
PVDF/4.1%vol,PZT,4.1,Electro Spinning,11.82,11.82,https://doi.org/10.1016/j.ceramint.2020.03.210,11.2497331819219,0.21577934559603631,2162547219.270028,4.163663934426229,2.427460064125123,1.081273609635014,3366099999.9999995,0.09267634179429274,0.2547707256833821,0.9670014877624351
PVDF/9.6%vol,PZT,9.6,Electro Spinning,14.89,14.89,https://doi.org/10.1016/j.ceramint.2020.03.210,13.099406742870876,0.2382978721819828,2402542059.6822047,4.383213114754098,3.1215607536724477,1.2012710298411025,7881600000.0,0.19060830409692958,0.5672689491267565,0.8235325976284275
PVDF/17%vol,PZT,17.0,Electro Spinning,17.09,17.09,https://doi.org/10.1016/j.ceramint.2020.03.210,15.963446988301108,0.271328671138931,2772782085.9677296,4.678606557377049,4.33134085813251,1.3863910429838648,13957000000.000002,0.2862925340256367,0.8763066800438637,0.48175367410171516
PVDF/39%vol,PZT,39.0,Electro Spinning,20.12,20.12,https://doi.org/10.1016/j.ceramint.2020.03.210,28.419103055935416,0.3933884294269517,4363859927.513133,5.556803278688525,11.179746316897116,2.1819299637565663,32019000000.0,0.42886296420674325,0.6374239897486899,-0.7705132427757891
PVDF/37%vol,PZT,37.0,Electro Spinning,22.93,22.93,https://doi.org/10.1016/j.ceramint.2020.03.210,26.94113120428762,0.38048780456870906,4176670393.5587234,5.476967213114754,10.250771864516937,2.0883351967793615,30377000000.0,0.4213814168431862,0.7289686274214114,-0.6845471059286887
Pure,PVDF,0.0,Solution Casting,7.43,7.43,https://doi.org/10.1016/j.jallcom.2021.160829,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
TiO2-2 wt%/PVDF,TiO2,2.0,Solution Casting,8.21,8.21,https://doi.org/10.1016/j.jallcom.2021.160829,10.468749999996339,0.20437205293144872,2079367279.687625,3.92,2.1395199291253557,1.0396836398438125,2900000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
TiO2-5 wt%/PVDF,TiO2,5.0,Solution Casting,14.86,14.86,https://doi.org/10.1016/j.jallcom.2021.160829,11.1999999999904,0.2110509206814183,2204504824.2797914,3.8,2.363770311629859,1.1022524121398958,7250000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
TiO2-8 wt%/PVDF,TiO2,8.0,Solution Casting,11.46,11.46,https://doi.org/10.1016/j.jallcom.2021.160829,11.967213114737973,0.2178790532231825,2337562700.32239,3.68,2.6074050631591623,1.168781350161195,11600000000.0,0.16483997698218034,0.4817536741017153,0.8763066800438636
TiO2-11 wt%/PVDF,TiO2,11.0,Solution Casting,9.87,9.87,https://doi.org/10.1016/j.jallcom.2021.160829,12.773109243674178,0.22486151094076945,2479317434.5591655,3.56,2.8721806439440845,1.2396587172795828,15950000000.0,0.21152509480975668,0.6374239897486896,0.7705132427757893
TiO2-14 wt%/PVDF,TiO2,14.0,Solution Casting,8.63,8.63,https://doi.org/10.1016/j.jallcom.2021.160829,13.6206896551412,0.2320035855759709,2630650493.0857854,3.44,3.160048838010293,1.3153252465428926,20300000000.000004,0.2517073481042953,0.7705132427757893,0.6374239897486896
DA0.5@TiO2/PVDF,DA,0.5,Solution Casting,10.65,10.65,https://doi.org/10.1016/j.jallcom.2021.160829,9.962546816480959,0.19972739627491617,2002223455.4720507,3.98,1.989793535922697,1.0011117277360253,12500000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
DA1.0@TiO2/PVDF,DA,1.0,Solution Casting,12.73,12.73,https://doi.org/10.1016/j.jallcom.2021.160829,9.925187032422063,0.1994550405096185,2004449386.2004626,3.96,1.9796285816172825,1.0022246931002312,25000000.0,0.024385287749642992,0.06279051952931337,0.9980267284282716
DA1.5@TiO2/PVDF,DA,1.5,Solution Casting,14.68,14.68,https://doi.org/10.1016/j.jallcom.2021.160829,9.887920298883856,0.19918293200329928,2006677794.3142116,3.94,1.9695049565466258,1.0033388971571058,37500000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
DA2.0@TiO2/PVDF,DA,2.0,Solution Casting,19.57,19.57,https://doi.org/10.1016/j.jallcom.2021.160829,9.850746268662904,0.19891107041939918,2008908683.9514682,3.92,1.9594224847296406,1.0044543419757341,50000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
DA2.5@TiO2/PVDF,DA,2.5,Solution Casting,16.04,16.04,https://doi.org/10.1016/j.jallcom.2021.160829,9.813664596281008,0.19863945542196929,2011142059.259627,3.9,1.9493809910991196,1.0055710296298135,62500000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
P-G%0.0,G,0.0,Electro Spinning,17.0,17,https://doi.org/10.1002/pc.25225,10.0,0.19999999999996,1999999997.9999998,4.0,1.9999999999995999,0.9999999989999999,0.0,0.0,0.0,1.0
P-G%0.1,G,0.1,Electro Spinning,22.0,22,https://doi.org/10.1002/pc.25225,9.999283293573216,0.20060052846212387,2021546570.0145624,3.996,2.0058615129332735,1.0107732850072813,1000000000.0,0.00249376040365884,0.006283143965558951,0.9999802608561371
P-G%0.3,G,0.3,Electro Spinning,29.0,29,https://doi.org/10.1002/pc.25225,9.99784998344836,0.20180519896431157,2064766577.4772308,3.988,2.0176181051251354,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.5,G,0.5,Electro Spinning,33.0,32–34,https://doi.org/10.1002/pc.25225,9.996416810278758,0.20301471177896954,2108156567.767277,3.98,2.029419677561188,1.0540782838836384,5000000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
P-G%0.3/B,G,0.3,Electro Spinning,28.0,28,https://doi.org/10.1002/pc.25225,9.99784998344836,0.20180519896431157,2064766577.4772308,3.988,2.0176181051251354,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.3/B/Ce,G,0.3,Electro Spinning,21.0,20–22,https://doi.org/10.1002/pc.25225,9.99784998344836,0.20180519896431157,2064766577.4772308,3.988,2.0176181051251354,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
P-G%0.3/B/Er,G,0.3,Electro Spinning,12.0,12,https://doi.org/10.1002/pc.25225,9.99784998344836,0.20180519896431157,2064766577.4772308,3.988,2.0176181051251354,1.0323832887386153,3000000000.0,0.007444030198468676,0.018848439715408175,0.999822352380809
2%wtNfs-PVDF,Nfs,2.0,Electro Spinning,18.0,18,https://doi.org/10.1016/j.ceramint.2024.05.183,10.134277089618656,0.21147299850688456,1995964041.2995806,3.92,2.1431259638412805,0.9979820206497902,36000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
4%wtNfs-PVDF,Nfs,4.0,Electro Spinning,23.0,23,https://doi.org/10.1016/j.ceramint.2024.05.183,10.269761606015532,0.22339331617144462,1991929565.140869,3.84,2.2941961014579904,0.9959647825704344,72000000.0,0.09063462346100909,0.2486898871648548,0.9685831611286311
6%wtNfs-PVDF,Nfs,6.0,Electro Spinning,29.0,29,https://doi.org/10.1016/j.ceramint.2024.05.183,10.40646990861237,0.23578763379552242,1987896568.709337,3.76,2.4537169159160173,0.9939482843546685,108000000.0,0.12959088965914106,0.3681245526846779,0.9297764858882515
8%wtNfs-PVDF,Nfs,8.0,Electro Spinning,23.0,23,https://doi.org/10.1016/j.ceramint.2024.05.183,10.544418653710055,0.24868479711896066,1983865051.191053,3.68,2.6222366136352693,0.9919325255955265,144000000.0,0.16483997698218034,0.4817536741017153,0.8763066800438636
10%Nfs-PVDF,Nfs,10.0,Electro Spinning,16.0,16,https://doi.org/10.1016/j.ceramint.2024.05.183,10.683624801253746,0.2621160409258116,1979835011.7726822,3.6,2.8003494356414427,0.9899175058863411,180000000.0,0.1967346701436833,0.5877852522924731,0.8090169943749475
3%wtCoFe2O4-PVDF,CoFe2O4,3.0,Poling,5.5,5.5,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,10.855357375339524,0.21562746639946662,2120357818.3617847,3.88,2.3407132077052255,1.0601789091808924,4500000000.0,0.0696460117874711,0.1873813145857246,0.9822872507286887
5%wtCoFe2O4-PVDF,CoFe2O4,5.0,Poling,6.34,6.34,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,11.453218314528327,0.22650602403574135,2204702625.6187816,3.8,2.5942229428371464,1.1023513128093907,7500000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
7%wtCoFe2O4-PVDF,CoFe2O4,7.0,Poling,6.1,6.1,https://www.beilstein-journals.org/xiv/download/pdf/202155-pdf,12.074705643518541,0.23777596068744183,2292572717.106353,3.7199999999999998,2.871074734405697,1.1462863585531764,10500000000.000002,0.14765595514064328,0.4257792915650727,0.9048270524660195
Neat,PVDF,0.0,Electro Spinning,10.0,10,http://dx.doi.org/10.1155/2022/9452318,10.0,0.19999999966666668,1999999997.9999998,4.0,1.9999999966666668,0.9999999989999999,0.0,0.0,0.0,1.0
0.01%CNT-PVDF,CNT,0.01,Electro Spinning,13.58,13.58,http://dx.doi.org/10.1155/2022/9452318,9.999086984309214,0.20005998800050007,2002168369.5910947,3.9996,2.000417222096858,1.0010841847955474,150000000.0,0.0002499375104153545,0.0006283184893762572,0.9999998026079184
0.03%CNT-PVDF,CNT,0.03,Electro Spinning,15.97,15.97,http://dx.doi.org/10.1155/2022/9452318,9.997261119637022,0.20017999999449937,2006506395.3448453,3.9988,2.001251730873948,1.0032531976724226,449999999.99999994,0.0007494377811445574,0.0018849544759281134,0.9999982234717338
0.05%CNT-PVDF,CNT,0.05,Electro Spinning,13.61,13.61,http://dx.doi.org/10.1155/2022/9452318,9.995435477210188,0.20030006000289774,2010846132.0370972,3.998,2.0020863258402937,1.0054230660185486,750000000.0,0.0012484388012699577,0.0031415874858795635,0.9999950652018582
0.5%GO-PVDF,GO,0.5,Electro Spinning,10.5,10.5,http://dx.doi.org/10.1155/2022/9452318,10.150749223596048,0.20281751663177705,2102916703.798502,3.98,2.0587497494816893,1.051458351899251,1500000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
1.5%GO-PVDF,GO,1.5,Electro Spinning,8.67,8.67,http://dx.doi.org/10.1155/2022/9452318,10.456838877864579,0.20853268656062918,2311666083.2873054,3.94,2.1805927041327355,1.1558330416436526,4500000000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
2.5%GO-PVDF,GO,2.5,Electro Spinning,7.46,7.46,http://dx.doi.org/10.1155/2022/9452318,10.769207101083285,0.2143572620796486,2524396094.0366163,3.9,2.3084577489569225,1.262198047018308,7500000000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
GO%0,GO,0.0,Electro Spinning,14.54,14.54 ± 0.94,https://doi.org/10.1038/s41598-024-66258-9,10.0,0.19999999997826087,1999999997.9999998,4.0,1.9999999997826088,0.9999999989999999,0.0,0.0,0.0,1.0
GO%0.5GO,GO,0.5,Electro Spinning,19.94,19.94 ± 1.43,https://doi.org/10.1038/s41598-024-66258-9,10.150749223596048,0.20281751663177705,2102916703.798502,3.98,2.0587497494816893,1.051458351899251,1500000000.0,0.012345043985833692,0.03141075907812829,0.9995065603657316
GO%1GO,GO,1.0,Electro Spinning,32.07,32.07 ± 3.41,https://doi.org/10.1038/s41598-024-66258-9,10.303021120480281,0.20566161946393885,2206800830.5261817,3.96,2.1189360090091403,1.1034004152630907,3000000000.0,0.024385287749642992,0.06279051952931337,0.9980267284282716
GO%1.5GO,GO,1.5,Electro Spinning,55.57,55.57 ± 2.88,https://doi.org/10.1038/s41598-024-66258-9,10.456838877864579,0.20853268656062918,2311666083.2873054,3.94,2.1805927041327355,1.1558330416436526,4500000000.0,0.03612825683572357,0.09410831331851431,0.99556196460308
GO%2GO,GO,2.0,Electro Spinning,47.53,47.53 ± 2.18,https://doi.org/10.1038/s41598-024-66258-9,10.61222615615474,0.21143110321096245,2417526427.2881045,3.92,2.243754683720028,1.2087632136440523,6000000000.0,0.04758129098202024,0.12533323356430426,0.9921147013144779
GO%2.5GO,GO,2.5,Electro Spinning,42.53,42.53 ± 1.14,https://doi.org/10.1038/s41598-024-66258-9,10.769207101083285,0.2143572620796486,2524396094.0366163,3.9,2.3084577489569225,1.262198047018308,7500000000.0,0.05875154870770227,0.15643446504023087,0.9876883405951378
GO%3GO,GO,3.0,Electro Spinning,45.02,45.02 ± 1.32,https://doi.org/10.1038/s41598-024-66258-9,10.927806356217493,0.21731156338433108,2632289587.7207065,3.88,2.374738683630854,1.3161447938603532,9000000000.0,0.0696460117874711,0.1873813145857246,0.9822872507286887
PVDF,BaTiO3,0.0,Sol-gel,28.0,28,https://doi.org/10.1080/00150193.2019.1658038,10.0,0.19999999994444445,1999999997.9999998,4.0,1.9999999994444444,0.9999999989999999,0.0,0.0,0.0,1.0
5wt%BaTiO3,BaTiO3,5.0,Sol-gel,148.44,148.44,https://doi.org/10.1080/00150193.2019.1658038,11.067961165037023,0.2260869564562067,2199335545.858523,7.371718749999999,2.502321653978712,1.0996677729292614,3850000000.0,0.11059960846429756,0.3090169943749474,0.9510565162951535
7%wtBaTiO3,BaTiO3,7.0,Sol-gel,31.22,31.22,https://doi.org/10.1080/00150193.2019.1658038,11.516743269845517,0.23716814152295929,2284745760.256754,8.72040625,2.73140459770631,1.142372880128377,5390000000.000001,0.14765595514064328,0.4257792915650727,0.9048270524660195
